;0
26092.770507653353;4
303057.1156788216;5
1238870.0776706852;7
2229273.8539542006;11
74987.58205638811;12
0.0;12
1571003.3743013085;4
54478.657459771166;6
813284.6393108417;0
380622.232247254;5
71637.57762137642;13
56216.16661884883;7
59733.36227339879;14
58601.89978836165;11
11303.389111209046;5
5308244.842278615;4
68078.41053051443;7
821913.5518329063;6
536862.3307628524;13
7848525.801193802;6
58248.25081076265;5
4000497.6136482893;4
320543.53541794576;12
477323.96489770786;12
604603.721393185;5
624122.0365330572;13
312747.2529299847;12
23057.918766397037;11
83317.65575046517;6
10798.369874620746;11
492852.1359210559;13
60106.473426775745;13
592251.1722948214;6
3560938.200201437;6
522314.9110501735;6
10524.141391754183;13
47410.19514636517;6
71961.65863883725;14
4097330.2524369517;0
1402590.494074664;4
195639.87547005215;7
89033.59529094916;14
350337.54090678785;12
340646.72328800085;14
328660.66410647804;11
221967.43253330796;14
21530.540659945138;5
234543.4953588248;7
16377.596067913284;11
3406596.6813781406;0
49749.587029526636;13
771176.2062537235;5
3517112.990069398;0
792573.7987337582;12
29444.196200218328;5
122568.82375936565;13
185886.32973290439;5
344947.35599000804;13
573057.3509001551;11
228015.97241952684;6
262137.0094731998;6
25447.586985131984;12
178885.35192771687;7
643117.3774647468;7
11672.954907310806;7
1742419.1206566743;4
322437.85324167844;11
1031749.6598111807;12
1091395.768202077;5
127097.66122935657;6
242340.8017607577;5
233949.4374526652;13
186279.75159917455;5
207013.09669709636;7
185012.41847412148;13
2466793.536273925;6
2538736.6536066486;0
53694.36810525869;7
223470.26851262595;5
4330429.376464801;6
188448.81595527026;0
525395.7954063152;7
80076.68937809963;7
6006804.406403902;3
529541.5192765278;13
3837146.9491041433;3
398144.3503728181;7
35549.01688329408;5
619963.0862807119;5
1426413.2744816209;4
107551.66264266957;6
37707.43989636031;7
695154.0352623661;4
869274.435604733;4
106001.52697343112;4
242485.95301747991;13
148470.89805003066;13
394061.72293338866;11
787311.6542781899;7
125770.80272109831;5
214221.5671634274;7
2259103.476014746;3
10452.60591855418;12
559771.0920777378;7
734332.6865246391;6
231755.16935435106;14
443819.7173923744;11
253278.36639186932;6
497845.0548408209;11
116014.63246316256;14
76020.99995118317;11
594531.7222126953;14
2125295.7409427683;6
230098.34212592512;13
817370.6867283954;0
832161.1605025316;5
190766.1673860315;7
579572.2497635597;14
5753548.271948522;0
108841.44104613533;5
105481.26608080183;7
160506.12141694917;12
2486026.3864907506;6
35834.42368906731;7
545016.7364358061;7
10234.978435088142;12
91210.25780035892;14
4435623.584019358;4
456322.2845483366;13
475555.9394013649;13
810948.0523886381;5
84133.69642782504;5
1967810.5988305367;6
728579.5578579166;12
128133.9414290658;7
2486478.025743455;4
21116.325323258963;13
20191.093758563005;5
379889.27391424077;12
308094.27686338464;13
589342.7248860669;7
1529964.443613203;14
1339534.9905718165;10
4569604.762169516;10
9463828.318302175;0
201629.90902345604;10
45102.11767724071;10
3310740.54156167;10
8553559.601678684;12
131054233.38592064;2
9969457.279654281;12
6150621.7271238165;14
5727945.522117224;12
2083323.8577868547;10
883395.4264660546;10
51206698.70363786;8
80180180.72627498;9
75833975.06414352;9
8954497.391534707;3
7522979.475663748;0
11722047.205919389;4
52267793.48176287;8
33990582.32724943;9
22697161.96230833;9
5492630.262737753;10
7648027.871746239;10
2108000.086787692;1
1382760.1731613723;4
655343.1463757202;0
268013.25453070225;1
1146827.402601808;3
1529762.4100427062;10
56020445.03477189;8
33889771.837622315;9
34431078.79526147;9
2442487.7288159137;4
6950656.401158004;10
1114418.836787692;1
4913210.555256019;4
7773583.200942992;0
4669654.254530703;1
3166184.291824958;3
1542184.9982780002;10
56685835.8163699;9
17651639.060880262;9
4781508.696312995;10
10389193.125504145;1
3686321.765688961;4
3314972.4834196414;10
10918701.538582092;0
524893.6429540075;10
2908570.0596865546;3
4643318.590737687;1
13758674.085730705;9
28749665.26799519;9
8581808.159595879;1
3209140.996277279;0
1001631.4239485952;10
12292838.864228386;1
1338991.9363475223;0
224758.54841290732;10
7894731.241694247;7
0.0;12
